"","movieId","title","genres","n"
"295",318,"Shawshank Redemption, The (1994)","Crime|Drama",97999
"332",356,"Forrest Gump (1994)","Comedy|Drama|Romance|War",97040
"274",296,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller",92406
"547",593,"Silence of the Lambs, The (1991)","Crime|Horror|Thriller",87899
"2165",2571,"Matrix, The (1999)","Action|Sci-Fi|Thriller",84545
"240",260,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi",81815
"445",480,"Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller",76451
"492",527,"Schindler's List (1993)","Drama|War",71516
"103",110,"Braveheart (1995)","Action|Drama|War",68803
"1",1,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",68469
"2502",2959,"Fight Club (1999)","Action|Crime|Drama|Thriller",65678
"8275",72998,"Avatar (2009)","Action|Adventure|Sci-Fi|IMAX",25447
"8797",89745,"Avengers, The (2012)","Action|Adventure|Sci-Fi|IMAX",17700
"544",589,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi",64258
"1012",1198,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","Action|Adventure",63505
"48",50,"Usual Suspects, The (1995)","Crime|Mystery|Thriller",62180
"4128",4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)","Adventure|Fantasy",61883
"737",858,"Godfather, The (1972)","Crime|Drama",60904
"2411",2858,"American Beauty (1999)","Drama|Romance",60820
"680",780,"Independence Day (a.k.a. ID4) (1996)","Action|Adventure|Sci-Fi|Thriller",58949
"134",150,"Apollo 13 (1995)","Adventure|Drama|IMAX",58665
"45",47,"Seven (a.k.a. Se7en) (1995)","Mystery|Thriller",55240
"2996",3578,"Gladiator (2000)","Action|Adventure|Drama",48666
"320",344,"Ace Ventura: Pet Detective (1994)","Comedy",45608
"1008",1193,"One Flew Over the Cuckoo's Nest (1975)","Drama",42181
"1076",1265,"Groundhog Day (1993)","Comedy|Fantasy|Romance",40836
"890",1036,"Die Hard (1988)","Action|Crime|Thriller",40284
"1027",1214,"Alien (1979)","Horror|Sci-Fi",39282
"5291",6874,"Kill Bill: Vol. 1 (2003)","Action|Crime|Thriller",35659
"10",10,"GoldenEye (1995)","Action|Adventure|Thriller",33086
